response_multiple,response,segment,fpl_pct,age,shock_dollars,shock_pct,net_2025,net_2026_initial,net_final,premium_factor,first_round_exit_pct,cumulative_exit_pct,rounds,diverged
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,27,1455.2399999999998,29.82538121003442,4879.200000000001,6334.4400000000005,6777.837782312264,1.069998423428769,22.5732567518761,29.21880537458317,9,False
2,0.019472625272101,"Subsidised, 250% FPL",250,40,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,40,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0049396995756281,2.1954212746109314,2.1954212746109314,2,False
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,40,1961.1899999999996,34.04577767361923,5760.450000000001,7721.64,8471.351510550612,1.0970926146281672,29.61917683475398,39.527581229707884,10,False
2,0.019472625272101,"Subsidised, 250% FPL",250,50,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,50,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0049396995756281,2.1954212746109314,2.1954212746109314,2,False
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,50,5030.549999999999,87.32911491289741,5760.450000000001,10791.0,12996.724399426355,1.2044050267502762,62.184625587736065,75.80124647839742,8,False
2,0.019472625272101,"Subsidised, 250% FPL",250,60,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,60,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0049396995756281,2.1954212746109314,2.1954212746109314,2,False
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,60,10637.55,184.66526052652134,5760.450000000001,16398.0,20830.674918595483,1.2703183343623086,87.84282002296985,95.04302957751193,6,False
2,0.019472625272101,"Subsidised, 250% FPL",250,64,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.0126994060905403,5.60093058766622,5.60093058766622,2,False
2,0.019472625272101,"Subsidised, 390% FPL",390,64,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0049396995756281,2.1954212746109314,2.1954212746109314,2,False
2,0.2137988094127648,"Unsubsidised, 450% FPL",450,64,12365.43,214.66083378902687,5760.450000000001,18125.88,23147.804657278284,1.2770583118237102,91.43044485673826,96.89866427604778,6,False
4,0.038945250544202,"Subsidised, 250% FPL",250,21,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6079.085999999999,1.0117120801311845,5.021287204945002,5.1705225233685255,3,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,21,1393.1999999999998,29.968250690482947,4648.92,6042.12,6930.449361161783,1.147023758956365,38.75054243229853,57.24959823572506,11,False
4,0.038945250544202,"Subsidised, 250% FPL",250,27,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,27,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0098183870414388,4.342643803491719,4.342643803491719,2,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,27,1455.2399999999998,29.82538121003442,4879.200000000001,6334.4400000000005,7310.062061990199,1.154019004634002,40.05099429989101,59.609940222941596,12,False
4,0.038945250544202,"Subsidised, 250% FPL",250,40,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,40,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0098183870414388,4.342643803491719,4.342643803491719,2,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,40,1961.1899999999996,34.04577767361923,5760.450000000001,7721.64,9233.734675414422,1.1958260025766727,50.465397305823686,73.14079909397853,11,False
4,0.038945250544202,"Subsidised, 250% FPL",250,50,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,50,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0098183870414388,4.342643803491719,4.342643803491719,2,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,50,5030.549999999999,87.32911491289741,5760.450000000001,10791.0,13731.747034091486,1.2725192880645748,85.69997458060294,95.65115239913439,6,False
4,0.038945250544202,"Subsidised, 250% FPL",250,60,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,60,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0098183870414388,4.342643803491719,4.342643803491719,2,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,60,10637.55,184.66526052652134,5760.450000000001,16398.0,21115.218698520024,1.2876705052253852,98.52202975006097,99.78101626328869,4,False
4,0.038945250544202,"Subsidised, 250% FPL",250,64,1796.15,119.26626826029216,1506.0,3302.15,3302.15,1.024987075347867,10.888156940853888,10.888156940853888,2,False
4,0.038945250544202,"Subsidised, 390% FPL",390,64,1233.530999999999,25.456960038633312,4845.555,6079.085999999999,6079.085999999999,1.0098183870414388,4.342643803491719,4.342643803491719,2,False
4,0.4275976188255296,"Unsubsidised, 450% FPL",450,64,12365.43,214.66083378902687,5760.450000000001,18125.88,23348.93342115482,1.2881544882941338,99.26562724646595,99.91133738357522,4,False
