StateCode,n_rating_areas,gross_median,cliff_median,cliff_pct_income,gross_pct_income,exposed_24,exposed_25,exposed_26,exposed_change_pct,exposed_change_placebo_pct,subsidised_change_pct,subsidised_change_placebo_pct,enrolment_change_pct,enrolment_change_placebo_pct,reinsurance_1332,gap_change_pp,gap_change_placebo_pp,fitted_exposed,fitted_exposed_placebo
NC,16,16435.079999999998,10200.12,16.294121405750797,26.2541214057508,65126,68261,43712.0,-35.96343446477491,4.813745662254698,-21.64368629703588,-4.885648065992331,-21.91065623365569,-5.138482192367189,False,-14.319748167739032,9.69939372824703,-35.04592587337276,9.011868779132842
MS,6,16347.78,10112.82,16.154664536741215,26.114664536741213,2484,2949,1535.0,-47.948457104103085,18.719806763285018,-6.815130218098686,17.922109414839937,-7.324069446621262,18.068154044900673,False,-41.1333268860044,0.7976973484450802,-34.85497053849318,9.00040230219501
AL,13,16294.56,10059.600000000002,16.069648562300323,26.029648562300324,13787,14610,10376.0,-28.980150581793296,5.969391455719153,-4.026981971538657,24.51303566077314,-4.617045944441422,23.729722031616163,False,-24.95316861025464,-18.543644205053987,-34.73855996664564,8.993412085670023
WI,16,15980.7,9745.74,15.568274760383384,25.528274760383383,42955,48246,33082.0,-31.430584918957017,12.317541613316262,-4.0405668397916035,19.148619519244157,-7.093268362996241,17.742098998599467,True,-27.390018079165415,-6.831077905927895,-34.05203944653906,8.95218793387497
OK,5,14507.16,8272.2,13.214376996805113,23.174376996805112,11117,11309,7315.0,-35.317004155981955,1.7270846451380661,-14.130487125334511,11.35897897506808,-14.968716415196647,11.012629939878016,False,-21.186517030647444,-9.631894329930013,-30.828897130863826,8.758644836200599
SC,46,14176.86,7941.9,12.686741214057506,22.646741214057503,32019,34379,23120.0,-32.749643677826576,7.370623692182776,-5.824249043487817,11.52555616841331,-7.022887959135882,10.63999649844618,False,-26.92539463433876,-4.154932476230534,-30.1064166370411,8.71526136160076
SD,4,13663.68,7428.72,11.866964856230034,21.82696485623003,7332,8178,5219.0,-36.182440694546344,11.538461538461542,-2.4515958501288626,1.3687312999598023,-6.889493978545714,3.2978442254691043,False,-33.73084484441748,10.169730238501739,-28.983914245821172,8.647857390982702
OR,7,13656.0,7421.04,11.854696485623004,21.814696485623003,32652,34971,26431.0,-24.42023390809528,7.1021683204704145,-15.93036957686127,-8.244706992470851,-15.259721665425808,-4.000439835336644,True,-8.48986433123401,15.346875312941265,-28.967115425982968,8.64684865624178
OH,17,13383.12,7148.159999999999,11.418785942492011,21.378785942492012,37777,42499,30398.0,-28.473611143791622,12.499669110834644,-19.811372538256755,24.779784983060395,-19.5095322079449,22.11208619632352,False,-8.662238605534867,-12.280115872225752,-28.370232358606813,8.61100704997837
HI,1,13839.12,6671.9039999999995,9.271684269038351,19.23168426903835,3117,3473,3030.0,-12.755542758422111,11.421238370227794,-2.2356973372001043,11.861507608823874,-4.9825245874989825,10.987821380243567,False,-10.519845421222007,-0.44026923859608047,-25.430251545996853,8.434467220877917
ND,4,12713.4,6478.4400000000005,10.34894568690096,20.30894568690096,6581,7625,5368.0,-29.600000000000005,15.863850478650665,1.293411037107517,10.671624601006947,-4.398498869490219,11.329959776826271,True,-30.893411037107523,5.192225877643718,-26.905322772403505,8.52304222827385
MI,16,12273.54,6038.580000000001,9.64629392971246,19.606293929712464,39579,43458,32843.0,-24.425882461226934,9.800651860835297,-4.620023036721221,29.796913396017487,-6.405590086671953,27.02296101411146,False,-19.805859424505712,-19.996261535182192,-25.94319661432642,8.465268522135537
IA,7,12165.84,5930.88,9.474249201277956,19.434249201277954,15155,17432,13334.0,-23.50849013308858,15.02474430880898,-10.290560142825267,23.150407844689227,-9.88723480446968,22.804986403166303,False,-13.217929990263311,-8.125663535880246,-25.707619414251614,8.451122593542129
IN,17,12119.52,5884.56,9.400255591054313,19.36025559105431,25721,27188,19371.0,-28.751655141974396,5.7035107499708415,-15.764948611652285,23.696197530864204,-16.476728649370898,21.458420675385103,False,-12.986706530322111,-17.99268678089336,-25.60630153210245,8.44503866213594
NH,1,9898.44,3663.480000000001,5.852204472843451,15.812204472843453,11366,12225,10670.0,-12.719836400817996,7.557628013373208,-11.38636270112341,8.10053380782918,-6.131907815232385,8.016339819094863,True,-1.3334736996945864,-0.5429057944559723,-20.74803033858211,8.15330942276504
